(업|없)다	없다? 업다?	없다는 존재하지 않다는 의미를, 업다는 사람이나 물건을 등에 얹는다는 의미를 갖고 있습니다.
빌(려|어)	빌려? 빌어?	빌어는 간청하는 것을 의미하며, 빌려는 다시 돌려주거나 대가를 지불하기로 하고 남의 것을 가져다 쓰는 것을 의미합니다.
(떨|털)다	떨다? 털다?	떨다: 부들부들~\n털다: 달려 있는 것을 흔들리거나 떨어지게 하다
갈(갈이)|(가리)	갈갈이? 갈가리?	가리가리(여러가지로 갈라지거나 찢어진)의 준말입니다.
으?로(써|서)	~로써? ~로서?	(으)로서는 신분,자격,지위를 나타내는 조사이며, 로써는 수단, 방법, 도구를 나타내는 조사입니다.\n사람으로서 해야 할 일이지.\n오늘로써 일이 끝난다.
(매|메)다	매다? 메다?	메다 : 어께에 물건을 걸치거나 올려놓다.\n매다 : 끈이 풀리지 않게 묶다.
(딸|달)려	딸려? 달려?	딸려 : 어떤 것에 메이거나 붙어잇다.\n달려 : 모자르다. 빠르게 걷다.
(딸|달)리다	딸리다? 달리다?	딸리다 : 어떤 것에 메이거나 붙어잇다.\n달리다 : 모자르다. 빠르게 걷다.
(하므)|(함으)로	~하므로? ~함으로?	~하므로 : ~하기 때문에(이유,까닭)\n~함으로 : ~하는 것으로(수단,방법)
(이에요)|(예요)	에요? 예요?	예요'는 '이에요'의 준말입니다. 고양이처럼 -이로 끝난다면 이에요가 아닌 예요를 해야 합니다.\n 고양이에요(X) 고양이예요(O)
어의	어의? 어이?	어의는 왕의 옥좌, 어이는 어처구니나 사람을 부를 때를 의미합니다.
금새	금새? 금세?	금새는 금빛 새, 금세는 지금 바로를 의미합니다.
\S(든|던)지	~든지? ~던지?	~든지는 선택의 문제일 경우에, ~던지는 과거에 대해 말할 경우에 사용합니다.\n예: 공부하든지 놀든지 해라. 놀긴 놀았던지 즐거워 보이는구나.
[낳낫나][고아았으음다]	낳다? 낫다?	낳다'는 아이를 낳는 의미입니다.\n'낫다'는 병이 치유됬다는 의미입니다. 병이 낫다. 병이 나았어. 병이 나으면
\s암([\s.,!?~;])	암? 앎?	알음'이나 '알아'의 의미라면 앎이고, 그렇지 않고 질병의 의미라면 암입니다.
(관|간)심	관심? 간심?	간심 : 간악한 마음\n관심 : 어떤 것에 마음이 이끌려 주의를 기울임